id,username,password_hash,role
1,U1,scrypt:32768:8:1$GjI9VNuc57L02LfO$30ea34de6fdf9cdaab619438be6f11f164d6f871c80b5d9eab7ca4e5ec1dac9eb56a4c6b876b23ce57e284a5551b41021517726f3d8f00db125b60ce6b5ff5b8,student
2,U2,scrypt:32768:8:1$iRZG4UqAkN1KxyO4$3aedc99e95fcc3679fd607af5b7980d6bf1d783be4165d0033760cc8d3f46d3ec09b87072a753b64dcbd652d720fb4c2f979705006709fffd2477889c9acf868,student
3,U3,scrypt:32768:8:1$jfcBuE5yNXSu7tBn$dc6e8e7b66e375124918e7e311d79085e4c99683d7c214c24f9501e13782c9c2ef40466f62ea8c8a6b79a800360a834de35bb3b3a1b5092db5833a1c4eb39d01,student
4,U4,scrypt:32768:8:1$qLoWEbTuGtahPNrr$8dcd0143bf7d642c47504546ee155839a99e1f9dc70442e63d7802c6fd2dce6da2eb8f15a96c7f302f881ef415648bbe1666afdc20ef1247e0676d2e5d1d5d78,student
5,U5,scrypt:32768:8:1$tYRND2GQpdTdALIg$51550ff16eb4f856631a0fd152bb83ebb303c72123b239ad1f8bdb327843dbd0d0f8b26defd2d80126f0bdc80cedcc62bbe33a3c941e0fd0edd4195309d99c30,student
6,U6,scrypt:32768:8:1$sXg1Ko7fbQbPtRn6$726d19b3fc3f704cd4f9d9975cbece63059b58b41533c5fc1f4973064e031d27ff3e2cf16d4fa303611b626f1610ef6f344df19b62b0c39422d787502bd29850,student
7,U7,scrypt:32768:8:1$DBpMj3h0vhgE2cua$45a3b8f3f7ffa75a787f40dece98e4aa278a934cfa3921f27b12d45335255db8839edc2b289dabc99930e562f93e91a854964fa28e50035944c34617cd1a0722,student
8,U8,scrypt:32768:8:1$kotSJujX1Pg1KJpW$f0814ef51329b0f6dd59f032fd19740fd40ab3c0d6e281a70bc24b6a972c3544ee0610f62f474e1ba5407062514315797ff3785d50f0c35dca72e7da0f502486,student
9,U9,scrypt:32768:8:1$mH0zQmEpQXfrcn9o$f314d540e9fcbf1d826911092f17603bb9461ff46d594c74040e197befaad5303cd43a207a91bc6ce7379fc9492e595535ecf0176caad6849170d6021b931526,student
10,U10,scrypt:32768:8:1$PMeVbS52y6yCR78G$ea382a219cfe6a1de79dde627452ea0478a154faff7684a102a06bd773d36ac484b3e07a9be5ebfe729067924bcdaed7425dea01ba94eff2dc68740164e7d966,student
11,U11,scrypt:32768:8:1$pplzYZxPCUzgfMtr$bcda80383aef144bb50859078a073622b64b0274698666b7cdce426b34f231d0956c59c6f94f27a82229d0cfe0b3a2ed6356f5b67ee208a734263f2069d1aa50,student
12,U12,scrypt:32768:8:1$DUt21Q3rf5vNMQe5$beb8361b188111b19930fecaf1329980c17e9adae87d17f0b3ba95ead3ceefc4684e87621ad865a7c01588b3e7fd9b85a1ca49301649e1fb421a01f2c297aea8,student
13,U13,scrypt:32768:8:1$20baOenwcqLHLkcU$b16e685ad2fef20becbcd443d1987ff79290df3f034c501dcb3163870b3e5313d7a59c14864ddd7671b03cc4728f99e7bb6a9ccb83254a0bde04a76d55a03ee6,student
14,U14,scrypt:32768:8:1$HCa7k5wIlgv9qxue$9f32bde064a569811bea8473cd8fbc70fc898f3e9eb4e54f45ce919399310b90074238549f583147091cb0074afd2bdc28c37f15c9304d38bf9c5d0161b90bb7,student
15,U15,scrypt:32768:8:1$K5E6IQrcCbiM51AA$077711189d1b647bed1e18ae251a3a79cfa4873bf3e2e6c2bbff037a0819b2434038f4eef35bfb5525e670e4d332efe14989d27b59a4822f82f0731c447872a7,student
16,U16,scrypt:32768:8:1$qNZK9OV0utvJNTMN$066dd3fbbe62239682394d2b2247f1dffeecdafd8b99abceb4ae84a8d39fb042d45f41ad28b34ec78d9477f06aab7e97cc5f2af7d50dd798c845b7ac520673c2,student
17,U17,scrypt:32768:8:1$BtYQEt4EpGZl850x$4d20986e8c7e361681bc265bef07f73bd1ec8a41aa857f971214fa07e460aa66c544d2cf23fd213ba1dc29d537aea5a8f8d206986b700e2d604654f7125e58bd,student
18,U18,scrypt:32768:8:1$2STqvQeZwf4Zo0MV$86b2026d965458c649f2894b59f25284c025dddf1b28ea475c2b876076bfb116e4b14eecbdc3d8eb8c5505267c83dd68226ab5131a9433c5100d43e7fe33e35a,student
